SMILES,T_g (K)
C=CC(=O)OCC(CC)CCCC,224.98881544971357
C=C(C)C(=O)Nc1ccccc1OCC,288.5044972552406
C=CC(=O)Nc1ccc(C(=O)OCC)cc1Br,333.72747349155054
C=CCNC(=O)c1ccc(NC(=O)C=C)cc1,331.38710642033277
C=CC(=O)N1c2cc(C)c(C)cc2C2=C(SC(C(=O)OC)=C(C(=O)OC)C23SC(C(=O)OC)=C(C(=O)OC)S3)C1(C)C,394.79201028395926
C=CC(=O)N(C)Cc1nccn1CC(F)(F)F,349.0678947180336
C=C(C)C(=O)NCCc1ccc(S(=O)(=O)N2CCCCCC2)cc1,351.5340617962755
C=CC(=O)NCC1CC1,225.9230143799503
C=CC(=O)NCCCN1CCN(c2ccccc2OC)CC1,355.2097125301241
C=C(C)C(=O)Nc1ccc2c(c1)ncn2CC(=O)NCCc1ccc(OC)c(OC)c1,400.314964539323
C=CC(=O)N1CCc2c(nnn2CC2CC2)C1COCc1ccccc1,350.82574920883087
C=CC(=O)NCCCN1C(=O)NC2(CCCCC2)C1=O,393.7815217371599
C#CCNC(=O)c1ccccc1NC(=O)C=C,343.52759611000874
C=CC(=O)NCCCOCCCC,256.9913073498039
C=C(C)C(=O)OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,218.37594886405188
C=CC(=O)N(CCC)C(C)(C)C,244.5849820603173
C=CC(=O)NC(C)(C)CS(=O)(=O)O,327.9791193283208
C=CC(=O)N1CCC(CNC(=O)CNC(=O)OC(C)(C)C)CC1,393.20030561660303
C=CC(=O)Nc1ccsc1C(=O)O,332.1039815711547
C=C(C)C(=O)OC1CCS(=O)(=O)C1,283.9040529656113
C=C(C)C(=O)NCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,345.1912430648035
C=C(C)C(=O)N1CCC(NC(=O)CCNC(=O)OC(C)(C)C)CC1,361.2882380136286
C=CC(=O)Nc1cccc(OCC(=O)OCC)c1,346.3710806922646
C=CC(=O)N(CCC)OC,246.84387114238015
C=CC(=O)N1CCN(C(=O)CCOc2ccccc2)CC1,352.00792333297795
C#CCCNC(=O)C=C,247.07397110917327
C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F,231.6515206417123
C=C(C)C(=O)O[Si](C(C)C)(C(C)C)C(C)C,232.5155985953479
C=CC(=O)NC(C)c1ccc(CC(C)C)cc1,295.50668850347097
C=CC(=O)NC(NC(=S)Nc1ccc(C(=O)OCC)cc1)C(Cl)(Cl)Cl,337.95325462088147
