regime,base_regime,cutoff,model,seed,fold,frac,RMSE,MAE,R2,optuna_best_rmse_innercv,alpha,nominal_coverage,cov,width,qhat
stratified,stratified,,xgb,42,0,0.2,34.15360642897065,27.050213771844895,0.5562923223469631,39.19251231675849,0.05,0.95,0.8048780487804879,92.53852702654399,46.269263513271994
stratified,stratified,,xgb,42,0,0.2,34.15360642897065,27.050213771844895,0.5562923223469631,39.19251231675849,0.1,0.9,0.8048780487804879,92.53852702654399,46.269263513271994
stratified,stratified,,xgb,42,0,0.2,34.15360642897065,27.050213771844895,0.5562923223469631,39.19251231675849,0.2,0.8,0.6341463414634146,57.21215247584474,28.606076237922366
stratified,stratified,,svr,42,0,0.2,34.692189616619764,26.861619609052052,0.5421879416101574,40.79535157007006,0.05,0.95,0.8780487804878049,103.1804368902724,51.5902184451362
stratified,stratified,,svr,42,0,0.2,34.692189616619764,26.861619609052052,0.5421879416101574,40.79535157007006,0.1,0.9,0.8780487804878049,103.1804368902724,51.5902184451362
stratified,stratified,,svr,42,0,0.2,34.692189616619764,26.861619609052052,0.5421879416101574,40.79535157007006,0.2,0.8,0.7682926829268293,75.64971411057333,37.82485705528666
stratified,stratified,,xgb,42,0,0.4,30.53941912935208,22.922824587746753,0.6452312569348895,25.13699500876092,0.05,0.95,0.975609756097561,158.16932486311546,79.08466243155772
stratified,stratified,,xgb,42,0,0.4,30.53941912935208,22.922824587746753,0.6452312569348895,25.13699500876092,0.1,0.9,0.9634146341463414,131.06782024094719,65.53391012047359
stratified,stratified,,xgb,42,0,0.4,30.53941912935208,22.922824587746753,0.6452312569348895,25.13699500876092,0.2,0.8,0.8414634146341463,77.84517511774447,38.92258755887224
stratified,stratified,,svr,42,0,0.4,34.349409984679845,24.43723349049487,0.5511901623423802,22.156533779532335,0.05,0.95,0.9390243902439024,151.23227092504897,75.61613546252448
stratified,stratified,,svr,42,0,0.4,34.349409984679845,24.43723349049487,0.5511901623423802,22.156533779532335,0.1,0.9,0.926829268292683,131.0463702251426,65.5231851125713
stratified,stratified,,svr,42,0,0.4,34.349409984679845,24.43723349049487,0.5511901623423802,22.156533779532335,0.2,0.8,0.7195121951219512,59.785883160846645,29.892941580423326
stratified,stratified,,xgb,42,0,0.6,57.5488300570077,29.065986506780163,-0.25978607224429884,40.27176665796559,0.05,0.95,1.0,892.018550289812,446.00927514490604
stratified,stratified,,xgb,42,0,0.6,57.5488300570077,29.065986506780163,-0.25978607224429884,40.27176665796559,0.1,0.9,0.9146341463414634,130.38123953378226,65.19061976689113
stratified,stratified,,xgb,42,0,0.6,57.5488300570077,29.065986506780163,-0.25978607224429884,40.27176665796559,0.2,0.8,0.7560975609756098,66.49791647749225,33.24895823874613
stratified,stratified,,svr,42,0,0.6,36.881645514006856,24.657689846214417,0.4825786041668858,36.51559743768413,0.05,0.95,0.9024390243902439,120.9491288616172,60.474564430808584
stratified,stratified,,svr,42,0,0.6,36.881645514006856,24.657689846214417,0.4825786041668858,36.51559743768413,0.1,0.9,0.8780487804878049,101.76111283921422,50.8805564196071
stratified,stratified,,svr,42,0,0.6,36.881645514006856,24.657689846214417,0.4825786041668858,36.51559743768413,0.2,0.8,0.7926829268292683,74.20721402159812,37.10360701079907
stratified,stratified,,xgb,42,0,0.8,31.546807261138348,24.339891768294628,0.6214400815374823,38.30104568505413,0.05,0.95,0.9024390243902439,98.45034089015131,49.22517044507566
stratified,stratified,,xgb,42,0,0.8,31.546807261138348,24.339891768294628,0.6214400815374823,38.30104568505413,0.1,0.9,0.8536585365853658,84.47659156119607,42.23829578059804
stratified,stratified,,xgb,42,0,0.8,31.546807261138348,24.339891768294628,0.6214400815374823,38.30104568505413,0.2,0.8,0.8170731707317073,68.26791800918659,34.133959004593294
stratified,stratified,,svr,42,0,0.8,32.54961677785505,23.283203372457486,0.5969902398111869,36.206019871953096,0.05,0.95,0.8780487804878049,103.6221131185987,51.811056559299345
stratified,stratified,,svr,42,0,0.8,32.54961677785505,23.283203372457486,0.5969902398111869,36.206019871953096,0.1,0.9,0.8536585365853658,86.50099113936517,43.250495569682585
stratified,stratified,,svr,42,0,0.8,32.54961677785505,23.283203372457486,0.5969902398111869,36.206019871953096,0.2,0.8,0.8414634146341463,79.38667883686765,39.69333941843382
stratified,stratified,,xgb,42,0,1.0,29.808813067072776,22.598628467243305,0.6620027462066218,38.97394777403766,0.05,0.95,0.8536585365853658,86.5232283125756,43.261614156287806
stratified,stratified,,xgb,42,0,1.0,29.808813067072776,22.598628467243305,0.6620027462066218,38.97394777403766,0.1,0.9,0.8536585365853658,80.55653461703037,40.27826730851518
stratified,stratified,,xgb,42,0,1.0,29.808813067072776,22.598628467243305,0.6620027462066218,38.97394777403766,0.2,0.8,0.7073170731707317,57.889023316927265,28.944511658463625
stratified,stratified,,svr,42,0,1.0,29.697431605440737,21.345578523492378,0.6645238995469034,36.39313473284471,0.05,0.95,0.8780487804878049,94.793590731819,47.3967953659095
stratified,stratified,,svr,42,0,1.0,29.697431605440737,21.345578523492378,0.6645238995469034,36.39313473284471,0.1,0.9,0.8658536585365854,84.15486562766397,42.07743281383199
stratified,stratified,,svr,42,0,1.0,29.697431605440737,21.345578523492378,0.6645238995469034,36.39313473284471,0.2,0.8,0.8048780487804879,61.859192024280894,30.92959601214045
stratified,stratified,,xgb,42,1,0.2,36.216995841098615,28.431753621685036,0.48949816273248137,60.56049832444544,0.05,0.95,0.8658536585365854,110.86741603448013,55.433708017240065
stratified,stratified,,xgb,42,1,0.2,36.216995841098615,28.431753621685036,0.48949816273248137,60.56049832444544,0.1,0.9,0.8658536585365854,110.86741603448013,55.433708017240065
stratified,stratified,,xgb,42,1,0.2,36.216995841098615,28.431753621685036,0.48949816273248137,60.56049832444544,0.2,0.8,0.6219512195121951,60.475950415794145,30.23797520789708
stratified,stratified,,svr,42,1,0.2,29.496068691177005,23.472497347615313,0.6613892552641317,55.88737618506091,0.05,0.95,0.9146341463414634,110.5915544050181,55.29577720250904
stratified,stratified,,svr,42,1,0.2,29.496068691177005,23.472497347615313,0.6613892552641317,55.88737618506091,0.1,0.9,0.9146341463414634,110.5915544050181,55.29577720250904
stratified,stratified,,svr,42,1,0.2,29.496068691177005,23.472497347615313,0.6613892552641317,55.88737618506091,0.2,0.8,0.9146341463414634,101.09359118889402,50.54679559444702
stratified,stratified,,xgb,42,1,0.4,31.03286258672134,25.22836550329427,0.6251857104724943,45.81798897541265,0.05,0.95,1.0,340.6214007111377,170.31070035556888
stratified,stratified,,xgb,42,1,0.4,31.03286258672134,25.22836550329427,0.6251857104724943,45.81798897541265,0.1,0.9,1.0,200.5401567351246,100.27007836756229
stratified,stratified,,xgb,42,1,0.4,31.03286258672134,25.22836550329427,0.6251857104724943,45.81798897541265,0.2,0.8,0.8536585365853658,93.6769530442316,46.8384765221158
stratified,stratified,,svr,42,1,0.4,29.819909946052242,21.88099694611759,0.6539131340059574,43.195233994518865,0.05,0.95,1.0,398.24120603393516,199.1206030169676
stratified,stratified,,svr,42,1,0.4,29.819909946052242,21.88099694611759,0.6539131340059574,43.195233994518865,0.1,0.9,0.975609756097561,135.42637052659438,67.71318526329719
stratified,stratified,,svr,42,1,0.4,29.819909946052242,21.88099694611759,0.6539131340059574,43.195233994518865,0.2,0.8,0.8414634146341463,82.77481173844615,41.38740586922307
stratified,stratified,,xgb,42,1,0.6,26.749169667497007,21.422094490823827,0.7215206004612087,46.53462468192139,0.05,0.95,0.9878048780487805,122.97172156281681,61.485860781408405
stratified,stratified,,xgb,42,1,0.6,26.749169667497007,21.422094490823827,0.7215206004612087,46.53462468192139,0.1,0.9,0.8536585365853658,78.42870490616122,39.21435245308061
stratified,stratified,,xgb,42,1,0.6,26.749169667497007,21.422094490823827,0.7215206004612087,46.53462468192139,0.2,0.8,0.7317073170731707,63.26799459534094,31.633997297670476
stratified,stratified,,svr,42,1,0.6,26.1300268374846,20.815008006238426,0.7342629102203493,43.38484169601361,0.05,0.95,1.0,186.98972882967473,93.49486441483737
stratified,stratified,,svr,42,1,0.6,26.1300268374846,20.815008006238426,0.7342629102203493,43.38484169601361,0.1,0.9,0.9878048780487805,129.334516542992,64.667258271496
stratified,stratified,,svr,42,1,0.6,26.1300268374846,20.815008006238426,0.7342629102203493,43.38484169601361,0.2,0.8,0.9024390243902439,91.98266030837702,45.99133015418852
stratified,stratified,,xgb,42,1,0.8,23.908328623513327,19.370355719730966,0.7775302861275061,38.82324066721568,0.05,0.95,1.0,138.44324748704094,69.22162374352047
stratified,stratified,,xgb,42,1,0.8,23.908328623513327,19.370355719730966,0.7775302861275061,38.82324066721568,0.1,0.9,0.9390243902439024,94.45452293012465,47.22726146506233
stratified,stratified,,xgb,42,1,0.8,23.908328623513327,19.370355719730966,0.7775302861275061,38.82324066721568,0.2,0.8,0.7804878048780488,56.14555848999192,28.072779244995957
stratified,stratified,,svr,42,1,0.8,23.746522725232275,18.045329025252265,0.7805313409629879,37.07831750023175,0.05,0.95,1.0,140.8654614191853,70.43273070959265
stratified,stratified,,svr,42,1,0.8,23.746522725232275,18.045329025252265,0.7805313409629879,37.07831750023175,0.1,0.9,0.8780487804878049,73.96871277087986,36.98435638543992
stratified,stratified,,svr,42,1,0.8,23.746522725232275,18.045329025252265,0.7805313409629879,37.07831750023175,0.2,0.8,0.7926829268292683,59.18452106789369,29.592260533946842
stratified,stratified,,xgb,42,1,1.0,23.491861562392526,18.80658579507189,0.7852133280939139,37.93458521047774,0.05,0.95,1.0,145.89583965035402,72.947919825177
stratified,stratified,,xgb,42,1,1.0,23.491861562392526,18.80658579507189,0.7852133280939139,37.93458521047774,0.1,0.9,0.9878048780487805,118.25748816437931,59.128744082189655
stratified,stratified,,xgb,42,1,1.0,23.491861562392526,18.80658579507189,0.7852133280939139,37.93458521047774,0.2,0.8,0.8414634146341463,60.6008157262345,30.300407863117243
stratified,stratified,,svr,42,1,1.0,20.557040043616116,15.475396641315749,0.8355273739362701,34.86490503183607,0.05,0.95,0.9634146341463414,98.18300952549919,49.091504762749594
stratified,stratified,,svr,42,1,1.0,20.557040043616116,15.475396641315749,0.8355273739362701,34.86490503183607,0.1,0.9,0.926829268292683,78.61049545710055,39.305247728550285
stratified,stratified,,svr,42,1,1.0,20.557040043616116,15.475396641315749,0.8355273739362701,34.86490503183607,0.2,0.8,0.9024390243902439,67.99624137519277,33.99812068759638
stratified,stratified,,xgb,42,2,0.2,28.355959890907197,21.884556581325484,0.6969513352186758,35.12998759246407,0.05,0.95,1.0,953.0204943527734,476.51024717638666
stratified,stratified,,xgb,42,2,0.2,28.355959890907197,21.884556581325484,0.6969513352186758,35.12998759246407,0.1,0.9,1.0,953.0204943527734,476.51024717638666
stratified,stratified,,xgb,42,2,0.2,28.355959890907197,21.884556581325484,0.6969513352186758,35.12998759246407,0.2,0.8,0.8170731707317073,79.8023083512278,39.9011541756139
stratified,stratified,,svr,42,2,0.2,28.809144614890048,22.148170509282775,0.6871872866267059,32.08487044397755,0.05,0.95,1.0,877.0792605045116,438.5396302522556
stratified,stratified,,svr,42,2,0.2,28.809144614890048,22.148170509282775,0.6871872866267059,32.08487044397755,0.1,0.9,1.0,877.0792605045116,438.5396302522556
stratified,stratified,,svr,42,2,0.2,28.809144614890048,22.148170509282775,0.6871872866267059,32.08487044397755,0.2,0.8,0.7804878048780488,74.62320147342143,37.311600736710716
stratified,stratified,,xgb,42,2,0.4,25.426999560314997,19.015216606089343,0.7563233591413315,27.954460984628422,0.05,0.95,0.9634146341463414,113.57742408171339,56.788712040856694
stratified,stratified,,xgb,42,2,0.4,25.426999560314997,19.015216606089343,0.7563233591413315,27.954460984628422,0.1,0.9,0.9634146341463414,109.71166623821796,54.85583311910898
