feature,mean_abs_shap
BertzCT,8.721078
TPSA,5.630915
HallKierAlpha,5.1247344
NOCount,4.607082
VSA_EState2,3.7398665
qed,2.4855778
BalabanJ,2.3234582
Ipc,1.7778165
VSA_EState3,1.412545
VSA_EState6,1.3828104
PEOE_VSA1,1.3773654
NumHeteroatoms,1.200864
VSA_EState4,1.1036025
Chi4v,1.0671855
PEOE_VSA12,0.9475583
PEOE_VSA8,0.8680777
BCUT2D_LOGPLOW,0.8607842
SlogP_VSA2,0.8307375
NumAmideBonds,0.72045255
PEOE_VSA2,0.6461168
Chi2v,0.64385533
NumHeterocycles,0.60743594
NHOHCount,0.60556364
fr_NH0,0.5207521
RingCount,0.5152335
MolLogP,0.5131473
fr_amide,0.5079909
SlogP_VSA1,0.49993995
Chi1,0.45965245
BCUT2D_MRHI,0.43357837
FpDensityMorgan3,0.40357727
MolMR,0.40057033
MaxAbsPartialCharge,0.39201018
BCUT2D_MRLOW,0.37103987
AvgIpc,0.3704414
Chi4n,0.36323214
HeavyAtomMolWt,0.35842013
LabuteASA,0.35342574
SPS,0.34700328
proxy_hetero_frac,0.3371035
SMR_VSA10,0.33211297
FractionCSP3,0.32480463
Chi3v,0.32143947
NumAliphaticHeterocycles,0.31299332
BCUT2D_MWLOW,0.31047344
SMR_VSA3,0.30724442
MaxAbsEStateIndex,0.30192596
FpDensityMorgan1,0.29769096
PEOE_VSA4,0.29670462
EState_VSA5,0.27769095
Chi1v,0.2755714
VSA_EState7,0.26664433
Kappa3,0.2539675
MinPartialCharge,0.24552824
BCUT2D_CHGHI,0.22366725
EState_VSA2,0.22209972
BCUT2D_MWHI,0.21934803
EState_VSA9,0.21808606
Chi3n,0.21731997
Chi2n,0.2148625
NumHDonors,0.21261993
SlogP_VSA4,0.19252203
MaxPartialCharge,0.1821982
Chi1n,0.16422097
BCUT2D_CHGLO,0.16228305
ExactMolWt,0.15387045
SlogP_VSA11,0.1533935
Chi0,0.15021619
EState_VSA3,0.14724423
SlogP_VSA5,0.14577536
MinAbsEStateIndex,0.14544553
MaxEStateIndex,0.1387554
Phi,0.13656129
MinEStateIndex,0.13202342
NumAromaticRings,0.12971522
PEOE_VSA9,0.12965436
proxy_halogen_frac,0.12183663
FpDensityMorgan2,0.117873766
MinAbsPartialCharge,0.11564267
SMR_VSA9,0.10932274
SMR_VSA6,0.10682247
VSA_EState1,0.105479755
fr_NH1,0.10398486
VSA_EState8,0.09811845
proxy_rings,0.0955635
MolWt,0.09458566
NumRotatableBonds,0.08881245
SMR_VSA7,0.08730934
EState_VSA7,0.08482056
NumHAcceptors,0.08411787
BCUT2D_LOGPHI,0.08273235
proxy_aromatic_frac,0.08104386
SlogP_VSA6,0.08098518
SlogP_VSA3,0.07895685
fr_ester,0.077951014
SMR_VSA5,0.07784611
PEOE_VSA14,0.07763629
Kappa2,0.077042095
Chi0v,0.07571659
PEOE_VSA6,0.0752238
EState_VSA4,0.071987115
SlogP_VSA10,0.06880408
Chi0n,0.0681586
fr_halogen,0.06638599
VSA_EState5,0.062072158
fr_ether,0.05974607
EState_VSA6,0.05882858
HeavyAtomCount,0.05695681
PEOE_VSA11,0.056001145
EState_VSA8,0.05203129
SMR_VSA1,0.051296145
EState_VSA1,0.04836402
NumValenceElectrons,0.04703521
PEOE_VSA7,0.04589146
VSA_EState10,0.04526825
PEOE_VSA10,0.04392726
SlogP_VSA8,0.04100853
fr_aryl_methyl,0.03877084
PEOE_VSA3,0.037401445
EState_VSA10,0.036604177
Kappa1,0.03201206
fr_C_O,0.030113997
NumSaturatedHeterocycles,0.027621042
fr_Al_OH_noTert,0.027212268
fr_piperzine,0.019871198
fr_Ndealkylation2,0.016547173
NumAromaticHeterocycles,0.011414566
fr_bicyclic,0.008061118
VSA_EState9,0.006655376
fr_C_O_noCOO,0.0058830683
fr_sulfonamd,0.0
fr_thiazole,0.0
fr_morpholine,0.0
fr_methoxy,0.0
fr_lactone,0.0
fr_lactam,0.0
fr_ketone_Topliss,0.0
fr_ketone,0.0
fr_isocyan,0.0
fr_isothiocyan,0.0
fr_nitro,0.0
fr_imide,0.0
fr_imidazole,0.0
fr_hdrzone,0.0
fr_hdrzine,0.0
fr_thiocyan,0.0
fr_guanido,0.0
fr_furan,0.0
fr_nitrile,0.0
fr_nitro_arom_nonortho,0.0
fr_nitro_arom,0.0
fr_tetrazole,0.0
fr_sulfide,0.0
fr_quatN,0.0
fr_pyridine,0.0
fr_unbrch_alkane,0.0
fr_sulfone,0.0
proxy_heavy_atoms,0.0
fr_term_acetylene,0.0
fr_prisulfonamd,0.0
fr_priamide,0.0
fr_piperdine,0.0
fr_phos_ester,0.0
fr_phos_acid,0.0
fr_thiophene,0.0
fr_phenol,0.0
fr_para_hydroxylation,0.0
fr_oxime,0.0
fr_oxazole,0.0
fr_nitroso,0.0
fr_urea,0.0
fr_phenol_noOrthoHbond,0.0
fr_NH2,0.0
fr_epoxide,0.0
fr_Ar_OH,0.0
fr_Ar_N,0.0
fr_Ar_COO,0.0
fr_ArN,0.0
fr_Al_OH,0.0
fr_Al_COO,0.0
NumUnspecifiedAtomStereoCenters,0.0
NumSpiroAtoms,0.0
NumSaturatedRings,0.0
NumSaturatedCarbocycles,0.0
NumBridgeheadAtoms,0.0
NumAtomStereoCenters,0.0
NumAromaticCarbocycles,0.0
PEOE_VSA13,0.0
NumAliphaticCarbocycles,0.0
PEOE_VSA5,0.0
SMR_VSA2,0.0
SMR_VSA4,0.0
SMR_VSA8,0.0
EState_VSA11,0.0
SlogP_VSA9,0.0
SlogP_VSA7,0.0
fr_Ar_NH,0.0
